Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Poland,POL,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Portugal,PRT,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Puerto Rico (US),PRI,99.9834289550781,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Qatar,QAT,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Romania,ROU,100,94.4,98.8,99.1,100,99.8,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Russian Federation,RUS,100,97.8,95.5,99.4,100,100,99.8,99.9,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Rwanda,RWA,..,6.2,22.8,29.4,34.1,38,46.6,45.2,48.7,50.6,63.9,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Samoa,WSM,..,88,98.2,98.9,96.8,99.8,99.2,100,98.3,98.3,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,San Marino,SMR,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sao Tome and Principe,STP,..,52.9,67.3,69.4,74.3,71,75.1,76.8,78.5,78,81.3,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Saudi Arabia,SAU,100,100,100,99.9,100,99.9,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Senegal,SEN,..,37.7,60.5,64.5,61.7,66,70.4,64.3,68,67.9,74.2,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Serbia,SRB,100,99.9,99.9,99.9,100,100,99.8,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Seychelles,SYC,..,94.1,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sierra Leone,SLE,..,7.7,19.7,20.3,23.4,26.1,22.7,26.3,27.5,29.4,35.5,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Singapore,SGP,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sint Maarten (Dutch part),SXM,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Slovak Republic,SVK,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Slovenia,SVN,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Solomon Islands,SLB,..,4.7,55.1,58.2,62.9,65.8,69.4,72.9,76.3,76,81.3,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Somalia, Fed. Rep.",SOM,..,2.1,51.2,51.1,52.1,50.7,49.2,49.9,49.3,48.9,50.3,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Africa,ZAF,..,72.4,85.3,83.9,84.4,84.7,85,90,89.3,86.5,87.7,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Sudan,SSD,..,..,4.8,5.3,4.2,6.3,6.8,7.3,7.7,8.4,5.4,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Spain,ESP,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sri Lanka,LKA,..,70.3,94.3,97.5,97.5,99.6,99.8,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Kitts and Nevis,KNA,91.3068161010742,95.4,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Lucia,LCA,..,86,99,99.8,99.9,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Martin (French part),MAF,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Vincent and the Grenadines,VCT,..,80,99.4,99.7,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sudan,SDN,32.8,23,48,50.5,53,55.3,57.6,59.7,61.8,63.2,66,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Suriname,SUR,..,95.4,95,95.8,96.6,97.4,97.9,98.4,98.8,99,99.6,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sweden,SWE,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Switzerland,CHE,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Syrian Arab Republic,SYR,..,93.4,90,89.8,89.6,86,89.2,89,88.8,89,88.4,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tajikistan,TJK,..,98.5,98,99.3,99.3,99.3,99.4,99.5,99.6,100,100,..
